param_learning_rate;param_n_estimators;param_max_depth;param_max_features;params;mean_train_score;mean_test_score
0.05;20;3;0.5;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 20};0.8223824603931666;0.788791857900053
0.05;50;3;0.5;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 50};0.8413058556373536;0.8004373963227577
0.05;100;3;0.5;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 100};0.8620790056147868;0.8088505516096117
0.05;200;3;0.5;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 200};0.8851692244382084;0.8132566541531817
0.05;500;3;0.5;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 500};0.9227490137352443;0.8167710677517728
0.05;20;3;0.75;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 20};0.821559992414733;0.7887581383804968
0.05;50;3;0.75;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 50};0.8419199711984812;0.7995786389397965
0.05;100;3;0.75;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 100};0.8621799882713944;0.8077512460934416
0.05;200;3;0.75;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 200};0.8831101061362369;0.8120482649858686
0.05;500;3;0.75;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 500};0.921084902789243;0.8142166710437271
0.05;20;3;0.9;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 20};0.8201076224097199;0.7884200520604558
0.05;50;3;0.9;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 50};0.8406817128965105;0.7993552987411914
