dataset;data_variant;max_depth;class_weight;max_features;auc_train;auc_test;f1_train;f1_test;accuracy_train;accuracy_test;precision_train;precision_test;recall_train;recall_test;TN_train;TN_test;FN_train;FN_test;FP_train;FP_test;TP_train;TP_test
1;_pca;7;50;;0.806687421284827;0.7329462989840348;0.08146431881371641;0.06871508379888268;0.6962843790699456;0.6934957481038841;0.9204188481675393;0.7735849056603774;0.04261818181818182;0.03595439929845075;44564.0;14841.0;19746.0;6596.0;76.0;72.0;879.0;246.0
1;_pca;7;60;0.75;0.8095487254553165;0.7411248640524245;0.08236447681748144;0.07059155724975294;0.6988738221098598;0.6974028958860032;0.9235602094240838;0.7861635220125787;0.04310429088065683;0.03695491500369549;44730.0;14922.0;19580.0;6515.0;73.0;68.0;882.0;250.0
1;_pca;7;60;;0.8070609392821584;0.7365533288562683;0.0806672135630298;0.0686907542244814;0.6909216272121351;0.6883934727648816;0.9267015706806283;0.7861635220125787;0.0421689617382189;0.03591438011779917;44208.0;14726.0;20102.0;6711.0;70.0;68.0;885.0;250.0
1;_pca;7;70;0.75;0.8081102171175124;0.731494700134928;0.08216105061457213;0.06926036767849508;0.6990883321841722;0.6997931509997701;0.9204188481675393;0.7641509433962265;0.04299970648664514;0.036274070756829375;44747.0;14981.0;19563.0;6456.0;76.0;75.0;879.0;243.0
1;_pca;7;70;;0.8059024880304089;0.7354104450572293;0.08012312706532072;0.06823144104803493;0.6886386271355244;0.6861411169846012;0.9267015706806283;0.7861635220125787;0.041871688115064344;0.03566333808844508;44059.0;14677.0;20251.0;6760.0;70.0;68.0;885.0;250.0
1;_pca;7;80;0.75;0.8055048313917943;0.7261328573444549;0.08345004104892066;0.06973995271867613;0.7092009499731863;0.710595265456217;0.9047120418848168;0.7421383647798742;0.04374240583232078;0.03658914728682171;45422.0;15223.0;18888.0;6214.0;91.0;82.0;864.0;236.0
1;_pca;7;80;;0.8022693172224524;0.7346229246265862;0.07772925764192141;0.06686930091185411;0.6763962307515514;0.6754309354171455;0.9319371727748691;0.7955974842767296;0.0405559352927774;0.03490136570561457;43255.0;14441.0;21055.0;6996.0;65.0;65.0;890.0;253.0
1;_scaled;5;50;0.75;0.7770709773748068;0.7539202190534616;0.08128331283312833;0.07701824930405196;0.7253351719911132;0.725672259250747;0.8303664921465969;0.7830188679245284;0.042733200409548956;0.040500975927130776;46546.0;15538.0;17764.0;5899.0;162.0;69.0;793.0;249.0
1;_scaled;5;50;;0.7774948079532956;0.7614388131024857;0.08588615350339758;0.08347529812606473;0.7485329043131848;0.7527005286141117;0.8073298429319372;0.7704402515723271;0.045355609153479616;0.04412824207492795;48082.0;16130.0;16228.0;5307.0;184.0;73.0;771.0;245.0
1;_scaled;5;60;0.75;0.7792166705608713;0.7484513638472012;0.08302243707634911;0.07726550079491255;0.7326131923695702;0.7332107561480119;0.8272251308900523;0.7641509433962265;0.04370435937154238;0.04068988613529806;47024.0;15708.0;17286.0;5729.0;165.0;75.0;790.0;243.0
1;_scaled;5;60;;0.7784464728682486;0.75698389870215;0.08436402916554146;0.08084474509156904;0.7402436221558263;0.7439209377154677;0.8178010471204189;0.7704402515723271;0.04447608200455581;0.04266063033257879;47531.0;15939.0;16779.0;5498.0;174.0;73.0;781.0;245.0
1;_scaled;5;70;0.75;0.7766206879146411;0.7410301738339315;0.07896027464443356;0.07264640474425502;0.7122500574580556;0.7124798896805332;0.8429319371727748;0.7704402515723271;0.04142011834319527;0.038120429438307145;45680.0;15255.0;18630.0;6182.0;150.0;73.0;805.0;245.0
1;_scaled;5;70;;0.7748479835482744;0.7435725805292266;0.07150650440621066;0.0671881010385947;0.6609821496973876;0.6655941162951046;0.8921465968586387;0.8238993710691824;0.03724590163934426;0.03502205587488304;42287.0;14218.0;22023.0;7219.0;103.0;56.0;852.0;262.0
1;_scaled;5;80;0.75;0.7721177119010422;0.7645616099596214;0.07346612838827025;0.07291949037679588;0.679996935570367;0.6855895196506551;0.8670157068062827;0.8459119496855346;0.03835819512647086;0.03810198300283286;43552.0;14646.0;20758.0;6791.0;127.0;49.0;828.0;269.0
1;_scaled;5;80;;0.7752719769506505;0.7558273724703922;0.07412021177203364;0.07164260419504222;0.6811307745345897;0.6866927143185475;0.8722513089005236;0.8270440251572327;0.038704581358609796;0.03744305239179954;43621.0;14676.0;20689.0;6761.0;122.0;55.0;833.0;263.0
1;_scaled;6;50;0.75;0.7832154217016561;0.7521502967742542;0.08574537540805223;0.07982846775523668;0.742526622232437;0.7435532061595036;0.8251308900523561;0.7610062893081762;0.04522238163558106;0.042123585726718885;47673.0;15934.0;16637.0;5503.0;167.0;76.0;788.0;242.0
1;_scaled;6;50;;0.784381484970134;0.7590268163285544;0.08710124826629682;0.08264182895850973;0.7478740519420822;0.7509997701677775;0.8219895287958116;0.7672955974842768;0.045987111892208554;0.04367281188473241;48025.0;16094.0;16285.0;5343.0;170.0;74.0;785.0;244.0
1;_scaled;6;60;0.75;0.7875234568162557;0.7579498709543219;0.07705207813987217;0.07254171838367121;0.6879950969125871;0.6908756607676396;0.8900523560209425;0.8270440251572327;0.04026909228728444;0.03793451608250396;44052.0;14767.0;20258.0;6670.0;105.0;55.0;850.0;263.0
1;_scaled;6;60;;0.7874526691312775;0.7544676766761048;0.07934622511521833;0.0744199620604115;0.7031027350034474;0.7084348425649276;0.8743455497382199;0.8018867924528302;0.041558829384829785;0.03902065799540933;45053.0;15157.0;19257.0;6280.0;120.0;63.0;835.0;255.0
1;_scaled;6;70;0.75;0.7832166835867824;0.7566121790837743;0.07394972451790634;0.0704299657082564;0.6703593043744733;0.6760284991955873;0.8994764397905759;0.839622641509434;0.03855994972393051;0.03675660792951542;42892.0;14440.0;21418.0;6997.0;96.0;51.0;859.0;267.0
