dataset;data_variant;n_estimators;max_depth;max_features;auc_train;auc_test;f1_train;f1_test;accuracy_train;accuracy_test;precision_train;precision_test;recall_train;recall_test;TN_train;TN_test;FN_train;FN_test;FP_train;FP_test;TP_train;TP_test
2;_scaled;300;3;0.75;0.5;0.5;0.0;0.0;0.98536734850226;0.9853826706504252;0.0;0.0;0.0;0.0;64310.0;21437.0;0.0;0.0;955.0;318.0;0.0;0.0
2;_scaled;300;3;0.9;0.5;0.5;0.0;0.0;0.98536734850226;0.9853826706504252;0.0;0.0;0.0;0.0;64310.0;21437.0;0.0;0.0;955.0;318.0;0.0;0.0
2;_scaled;300;4;0.5;0.5;0.5;0.0;0.0;0.98536734850226;0.9853826706504252;0.0;0.0;0.0;0.0;64310.0;21437.0;0.0;0.0;955.0;318.0;0.0;0.0
2;_scaled;300;4;0.75;0.5;0.5;0.0;0.0;0.98536734850226;0.9853826706504252;0.0;0.0;0.0;0.0;64310.0;21437.0;0.0;0.0;955.0;318.0;0.0;0.0
2;_scaled;300;4;0.9;0.5005235602094241;0.49997667584083594;0.002092050209205021;0.0;0.9853826706504252;0.9853367042059297;0.0010471204188481676;0.0;1.0;0.0;64310.0;21436.0;0.0;1.0;954.0;318.0;1.0;0.0
2;_scaled;300;5;0.5;0.5026178010471204;0.5;0.010416666666666668;0.0;0.9854439592430859;0.9853826706504252;0.005235602094240838;0.0;1.0;0.0;64310.0;21437.0;0.0;0.0;950.0;318.0;5.0;0.0
2;_scaled;300;5;0.75;0.5031413612565445;0.49997667584083594;0.012486992715920915;0.0;0.985459281391251;0.9853367042059297;0.0062827225130890054;0.0;1.0;0.0;64310.0;21436.0;0.0;1.0;949.0;318.0;6.0;0.0
2;_scaled;300;5;0.9;0.5026178010471204;0.49997667584083594;0.010416666666666668;0.0;0.9854439592430859;0.9853367042059297;0.005235602094240838;0.0;1.0;0.0;64310.0;21436.0;0.0;1.0;950.0;318.0;5.0;0.0
2;_woe_scaled;100;3;0.5;0.5;0.5;0.0;0.0;0.98536734850226;0.9853826706504252;0.0;0.0;0.0;0.0;64310.0;21437.0;0.0;0.0;955.0;318.0;0.0;0.0
2;_woe_scaled;100;3;0.75;0.5;0.5;0.0;0.0;0.98536734850226;0.9853826706504252;0.0;0.0;0.0;0.0;64310.0;21437.0;0.0;0.0;955.0;318.0;0.0;0.0
2;_woe_scaled;100;3;0.9;0.5;0.5;0.0;0.0;0.98536734850226;0.9853826706504252;0.0;0.0;0.0;0.0;64310.0;21437.0;0.0;0.0;955.0;318.0;0.0;0.0
2;_woe_scaled;100;4;0.5;0.5;0.5;0.0;0.0;0.98536734850226;0.9853826706504252;0.0;0.0;0.0;0.0;64310.0;21437.0;0.0;0.0;955.0;318.0;0.0;0.0
2;_woe_scaled;100;4;0.75;0.5;0.5;0.0;0.0;0.98536734850226;0.9853826706504252;0.0;0.0;0.0;0.0;64310.0;21437.0;0.0;0.0;955.0;318.0;0.0;0.0
2;_woe_scaled;100;4;0.9;0.5;0.5;0.0;0.0;0.98536734850226;0.9853826706504252;0.0;0.0;0.0;0.0;64310.0;21437.0;0.0;0.0;955.0;318.0;0.0;0.0
2;_woe_scaled;100;5;0.5;0.5;0.5;0.0;0.0;0.98536734850226;0.9853826706504252;0.0;0.0;0.0;0.0;64310.0;21437.0;0.0;0.0;955.0;318.0;0.0;0.0
