param_learning_rate;param_n_estimators;param_max_depth;param_max_features;params;mean_train_score;mean_test_score
0.05;500;3;0.9;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 500};0.9182082279984343;0.8475961981252158
0.05;20;5;;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'n_estimators': 20};0.882767389472584;0.8369133595293748
0.05;50;5;;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'n_estimators': 50};0.9032656570808041;0.8415912659483737
0.05;100;5;;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'n_estimators': 100};0.9203054148441916;0.8449656817112355
0.05;200;5;;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'n_estimators': 200};0.9437882324373829;0.845225179043412
0.05;500;5;;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': None, 'n_estimators': 500};0.9800719829057465;0.837066119746043
0.05;20;5;0.5;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 20};0.8866041477749464;0.8384671446928121
0.05;50;5;0.5;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 50};0.9085256986532794;0.844122845019862
0.05;100;5;0.5;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 100};0.9256010389470815;0.8469983763858536
0.05;200;5;0.5;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 200};0.9455618235328455;0.8466033803082943
0.05;500;5;0.5;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.5, 'n_estimators': 500};0.9827108212133899;0.8377316939906757
0.05;20;5;0.75;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 20};0.8867008108151023;0.8394857857612472
0.05;50;5;0.75;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 50};0.9069140375436695;0.8431558722146903
0.05;100;5;0.75;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 100};0.9270156629541326;0.8466851030324025
0.05;200;5;0.75;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 200};0.9491238318661337;0.8457070697741079
0.05;500;5;0.75;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.75, 'n_estimators': 500};0.9813197841743342;0.8380511132867159
0.05;20;5;0.9;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 20};0.8850101162120467;0.8386009422238103
0.05;50;5;0.9;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 50};0.9062044859882685;0.8420598854106183
0.05;100;5;0.9;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 100};0.9242814029885504;0.8459132423901137
0.05;200;5;0.9;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 200};0.9462026179270961;0.846287963582735
0.05;500;5;0.9;{'learning_rate': 0.05, 'max_depth': 5, 'max_features': 0.9, 'n_estimators': 500};0.9818581089846613;0.838581908963036
0.05;20;7;;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': None, 'n_estimators': 20};0.9283132701833641;0.8349590383719928
0.05;50;7;;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': None, 'n_estimators': 50};0.9517590494247367;0.8386309882091935
0.05;100;7;;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': None, 'n_estimators': 100};0.9689762579044764;0.8411425775605404
0.05;200;7;;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': None, 'n_estimators': 200};0.9862654205899631;0.8389226568131944
0.05;500;7;;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': None, 'n_estimators': 500};0.9992703389850669;0.8214124279617601
0.05;20;7;0.5;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 20};0.9384605957925982;0.8382087632607302
0.05;50;7;0.5;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 50};0.9605622923798991;0.8413404543907037
0.05;100;7;0.5;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 100};0.9749177488573216;0.8428354648128827
0.05;200;7;0.5;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 200};0.9894963210209984;0.8385654153133181
0.05;500;7;0.5;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.5, 'n_estimators': 500};0.9997778383563742;0.8217639535286969
0.05;20;7;0.75;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 20};0.9360365526814234;0.8375282946037008
0.05;50;7;0.75;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 50};0.9584833288670678;0.8381781317341443
0.05;100;7;0.75;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 100};0.9734024130958105;0.8404394710966249
0.05;200;7;0.75;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 200};0.9879029998456262;0.8376898774937933
0.05;500;7;0.75;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.75, 'n_estimators': 500};0.9995081320796897;0.8220884946617497
0.05;20;7;0.9;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 20};0.9358242878475331;0.8384694417878263
0.05;50;7;0.9;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 50};0.9572788598581712;0.841242029237343
0.05;100;7;0.9;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 100};0.9717007459626181;0.8437965289541142
0.05;200;7;0.9;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 200};0.9877049886565286;0.8405639565099242
0.05;500;7;0.9;{'learning_rate': 0.05, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 500};0.9994910520968725;0.8240702739949736
0.1;20;3;;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': None, 'n_estimators': 20};0.8545662632379649;0.8332184051015298
0.1;50;3;;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': None, 'n_estimators': 50};0.8737960977846901;0.8424540183376642
0.1;100;3;;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': None, 'n_estimators': 100};0.8907367895514663;0.8462946746822256
0.1;200;3;;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': None, 'n_estimators': 200};0.9114031260806194;0.8477553238191943
0.1;500;3;;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': None, 'n_estimators': 500};0.9470455235209947;0.8425553831594513
0.1;20;3;0.5;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 20};0.8542568072507866;0.8333429367309755
0.1;50;3;0.5;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 50};0.8719318410576383;0.8426806246500138
0.1;100;3;0.5;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 100};0.8886542770401209;0.8474109525052658
0.1;200;3;0.5;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 200};0.909537200525545;0.8481103306201805
0.1;500;3;0.5;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 500};0.944285753535336;0.8424316693707881
0.1;20;3;0.75;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 20};0.8557807690634576;0.8336502928293141
0.1;50;3;0.75;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 50};0.8745892884753967;0.8423604660166804
0.1;100;3;0.75;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 100};0.8914121034969487;0.8467004219075353
0.1;200;3;0.75;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 200};0.9097173761454705;0.8477619714472506
0.1;500;3;0.75;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 500};0.9447693677236153;0.842800769820186
0.1;20;3;0.9;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 20};0.855690856062169;0.833159775446939
0.1;50;3;0.9;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 50};0.8746030178120671;0.8430497417620902
0.1;100;3;0.9;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 100};0.8904514471965284;0.847224933743183
0.1;200;3;0.9;{'learning_rate': 0.1, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 200};0.9114762440933596;0.8481796511611435
