dataset;data_variant;n_estimators;max_depth;max_features;class_weight;auc_train;auc_test;f1_train;f1_test;accuracy_train;accuracy_test;precision_train;precision_test;recall_train;recall_test;TN_train;TN_test;FN_train;FN_test;FP_train;FP_test;TP_train;TP_test
2;_scaled;10;5;0.75;30;0.7512440966164382;0.7098509806268654;0.11109129814550642;0.09903713892709767;0.8472381827932276;0.8494598942771776;0.6523560209424084;0.5660377358490566;0.060715329889874284;0.054265902924329215;54672.0;18300.0;9638.0;3137.0;332.0;138.0;623.0;180.0
2;_scaled;10;5;0.75;35;0.7642498581396883;0.7473714846164702;0.09771986970684039;0.09424989191526155;0.8047651880793687;0.8074005975637785;0.7225130890052356;0.6855345911949685;0.05240373661426293;0.050603528319405754;51833.0;17347.0;12477.0;4090.0;265.0;100.0;690.0;218.0
2;_scaled;10;5;0.75;40;0.7701291030601936;0.7526962874686481;0.09427388074419828;0.09140546006066734;0.7889067647284149;0.7934727648816364;0.7507853403141361;0.710691823899371;0.050294612794612795;0.04884374324616382;50771.0;17036.0;13539.0;4401.0;238.0;92.0;717.0;226.0
2;_scaled;10;5;0.75;45;0.7738416505131801;0.7613386219030578;0.09025665977375016;0.08898066453914023;0.7708113077453459;0.7769248448632499;0.7769633507853403;0.7452830188679245;0.04791115128817718;0.047314833300059894;49565.0;16665.0;14745.0;4772.0;213.0;81.0;742.0;237.0
2;_scaled;10;5;0.75;50;0.7809365792818002;0.7669158831069423;0.08760199456029012;0.08558558558558559;0.7532827702443883;0.7573891059526545;0.8094240837696335;0.7767295597484277;0.046306835200383395;0.04528786211954529;48390.0;16230.0;15920.0;5207.0;182.0;71.0;773.0;247.0
2;_scaled;10;5;0.75;55;0.7861496709736298;0.7635627051682523;0.08541153804987692;0.081685999019768;0.7381444878571976;0.7416226154906918;0.8356020942408376;0.7861635220125787;0.04500592183181998;0.043081164914699294;47377.0;15884.0;16933.0;5553.0;157.0;68.0;798.0;250.0
2;_scaled;10;5;0.85;20;0.5976868831518796;0.5748255162193856;0.14455378350865286;0.11902231668437832;0.9613728644755994;0.9618938175132153;0.22303664921465968;0.1761006289308176;0.10692771084337349;0.0898876404494382;62531.0;20870.0;1779.0;567.0;742.0;262.0;213.0;56.0
2;_scaled;10;5;0.85;25;0.706181242525366;0.6615889678780853;0.1306941431670282;0.11139455782312925;0.9017543859649123;0.9039301310043668;0.5047120418848168;0.4119496855345912;0.0750661890671235;0.06440511307767945;58371.0;19534.0;5939.0;1903.0;473.0;187.0;482.0;131.0
2;_scaled;10;5;0.85;30;0.7487561476193927;0.7087876776853514;0.10800970873786409;0.09655908242197919;0.8423350953803723;0.8443116524936796;0.6523560209424084;0.5691823899371069;0.05887912295624232;0.05275429903818129;54352.0;18187.0;9958.0;3250.0;332.0;137.0;623.0;181.0
2;_scaled;10;5;0.85;35;0.7645582058761512;0.7432142833043321;0.09833024118738407;0.09349858664927159;0.806389335784877;0.8083658928981843;0.7214659685863875;0.6761006289308176;0.05276054828087909;0.05022191076851203;51940.0;17371.0;12370.0;4066.0;266.0;103.0;689.0;215.0
2;_scaled;10;5;0.85;40;0.7754920741402288;0.7464591285918105;0.09360453994771409;0.0874805598755832;0.7821956638320693;0.7842335095380373;0.768586387434555;0.7075471698113207;0.04983704508419337;0.046622461665975966;50316.0;16836.0;13994.0;4601.0;221.0;93.0;734.0;225.0
2;_scaled;10;5;0.85;45;0.7755448290796949;0.7605181689332174;0.08920299322959972;0.08692489543553374;0.7650195357389106;0.7692024821880028;0.7863874345549738;0.7515723270440252;0.04728325883019581;0.04613009071607798;49178.0;16495.0;15132.0;4942.0;204.0;79.0;751.0;239.0
2;_scaled;10;5;0.85;50;0.7721061921110199;0.7635242716481203;0.08515173613058843;0.08411694306719097;0.7501110855741975;0.7537577568375086;0.7947643979057591;0.7735849056603774;0.044985775248933144;0.04447658651238474;48197.0;16152.0;16113.0;5285.0;196.0;72.0;759.0;246.0
2;_scaled;10;5;0.85;55;0.7774253228594153;0.7641691333065179;0.08397028743675315;0.08203445447087776;0.73924768252509;0.7428177430475753;0.8167539267015707;0.7861635220125787;0.0442603415990467;0.043275056257573136;47467.0;15910.0;16843.0;5527.0;175.0;68.0;780.0;250.0
2;_scaled;10;6;0.65;20;0.646826765967528;0.598509219497354;0.17795409464437517;0.12791702679343128;0.9555504481728339;0.9536198575040221;0.3287958115183246;0.23270440251572327;0.12198912198912198;0.08820023837902265;62050.0;20672.0;2260.0;765.0;641.0;244.0;314.0;74.0
2;_scaled;10;6;0.65;25;0.7161049106870273;0.6485054348224709;0.14867740954697475;0.11376673040152964;0.9141959702750325;0.9147782119053092;0.512041884816754;0.3742138364779874;0.08696425395696247;0.06708004509582864;59176.0;19782.0;5134.0;1655.0;466.0;199.0;489.0;119.0
