city,latitude,latitude_NS,longitude,longitude_WE
Yadgir,16.77,N,77.13,E
Mandla,22.6,N,80.38,E
Sikar,27.62,N,75.15,E
Kanpur Nagar,26.46000,N,80.33000,E
Sangrur,30.25056,N,75.84417,E
Karauli,26.5,N,77.02,E
Thanjavur,10.78333,N,79.13611,E
Sirsa,29.533,N,75.017,E
Jalaun,26.15,N,79.35,E
Malout,30.190,N,74.499,E
Kendrapara,20.50,N,86.42,E
Shimoga,13.933,N,75.567,E
Thane,19.172431,N,72.957019,E
Sonitpur,26.63,N,92.8,E
Neemuch,24.476385,N,74.87,E
Chatra,24.2045100,N,84.8770400,E
Junagadh,21.520,N,70.463,E
Umaria,23.38,N,81.10,E
Mahasamund,21.11,N,82.10,E
Kurnool,15.83,N,78.05,E
Srikakulam,18.3,N,83.9,E
Koderma,24.47,N,85.6,E
Sivagangai,9.87,N,78.48,E
Ramanathapuram,9.367,N,78.835,E
Burhanpur,21.3,N,76.23,E
Sindhudurg,16.043769,N,73.461416,E
Jalpaiguri,26.52,N,88.73,E
Sangamner,19.57,N,74.22,E
Veraval,20.91,N,70.37,E
Pithoragarh,29.58,N,80.22,E
Vizianagaram,18.12,N,83.42,E
Surguja,23.117,N,83.200,E
Dakshina Kannada,12.87,N,74.88,E
Morvi,22.82,N,70.83,E
Nadiad,22.69,N,72.86,E
Dhanbad,23.7998,N,86.4305,E
Mathura,27.49250,N,77.67361,E
Jaisalmer,26.913,N,70.915,E
Etah,27.63,N,78.67,E
Jamui,24.92,N,86.22,E
Sambalpur,21.47,N,83.97,E
Hajipur,25.68,N,85.22,E
Mandsaur,24.03,N,75.08,E
Dumka,24.27,N,87.25,E
Bagpat,28.95,N,77.22,E
Wayanad,11.633090,N,76.089638,E
Jagadalpur,19.07,N,82.03,E
Uttar Dinajpur,25.62,N,88.12,E
Khandwa,21.82,N,76.35,E
Hosur,12.735,N,77.829,E
Bundi,25.44,N,75.64,E
Janjgir-Champa,22.01694,N,82.56694,E
Bhilwara,25.35,N,74.63,E
Jaipur,26.9,N,75.8,E
Gorakhpur,26.7588,N,83.3697,E
Pudukkottai,10.38,N,78.82,E
Varanasi,25.28,N,82.96,E
Amreli,21.60,N,71.22,E
Morena,26.5,N,78.0,E
Idukki,9.85,N,76.94,E
Vapi,20.372,N,72.917,E
Lohardaga,23.43,N,84.68,E
Mohali,30.78,N,76.69,E
Raichur,16.2,N,77.37,E
Chandigarh,30.75,N,76.78,E
Kurukshetra,29.965717,N,76.837006,E
Pollachi,10.659,N,77.008,E
Travancore,8.433,N,76.917,E
Udalguri,26.7452,N,92.0962,E
Theni,10.009,N,77.47,E
Kushinagar,26.741,N,83.888,E
Bijapur,16.83,N,75.71,E
East Singhbhum,22.8000,N,86.1834,E
Imphal East,24.800,N,93.950,E
Doda,33.13,N,75.57,E
Nellore,14.45,N,79.99,E
Bankura,23.25,N,87.07,E
Seoni,22.08,N,79.53,E
Rae Bareli,26.23384,N,81.233597,E
Dungarpur,23.84,N,73.72,E
Godda,24.83,N,87.22,E
Dhar,22.598,N,75.304,E
Nagaur,27.2,N,73.73,E
Ropar,30.9664,N,76.5331,E
Viluppuram,11.941,N,79.493,E
Purulia,23.34,N,86.36,E
Mainpuri,27.23,N,79.02,E
Kheda,22.75,N,72.68,E
Wardha,20.74167,N,78.60556,E
Azamgarh,26.068,N,83.184,E
Dharwad,15.45833,N,75.00833,E
Parbhani,19.25917,N,76.78306,E
Tirur,10.9,N,75.92,E
Hazaribagh,23.98,N,85.35,E
Munger,25.381,N,86.465,E
Noida,28.57,N,77.32,E
Kishtwar,33.32,N,75.77,E
Bettiah,26.80139,N,84.50278,E
Katihar,25.53,N,87.58,E
Siliguri,26.71,N,88.43,E
Gurdaspur,32.0333,N,75.40,E
Mau,25.94167,N,83.56111,E
Koraput,18.8561,N,82.7347,E
Imphal West,24.817,N,93.900,E
Bhiwadi,28.21,N,76.87,E
Sant Kabir Nagar,26.78000,N,83.06000,E
Ujjain,23.17,N,75.79,E
Jyotiba Phule Nagar,28.90000,N,78.47000,E
Kannur,11.8689,N,75.3555,E
Haridwar,29.945,N,78.163,E
Jharkhand,23.35,N,85.33,E
Panchmahal,22.750,N,73.600,E
Mandya,12.52,N,76.9,E
