dataset;data_variant;class_weight;auc_train;auc_test;f1_train;f1_test;accuracy_train;accuracy_test;precision_train;precision_test;recall_train;recall_test;TN_train;TN_test;FN_train;FN_test;FP_train;FP_test;TP_train;TP_test
3;_woe_scaled;70;0.756575194920546;0.7387251894757872;0.07499512385410573;0.07246160727598032;0.7093388493066728;0.7140427487933808;0.8052356020942408;0.7641509433962265;0.039329003222011966;0.038034121145719205;45526.0;15291.0;18784.0;6146.0;186.0;75.0;769.0;243.0
3;_woe_scaled;75;0.7589526272041265;0.7462520716694201;0.07358172626848905;0.072;0.6967440435149008;0.7014019765571133;0.8230366492146597;0.7924528301886793;0.03851242099073938;0.03771325950314277;44687.0;15007.0;19623.0;6430.0;169.0;66.0;786.0;252.0
3;_woe_scaled;a;0.7540088462217938;0.7394523458089713;0.07563193126186432;0.07371157669368404;0.7164789703516433;0.7215812456906459;0.7926701570680629;0.7578616352201258;0.039710433824686565;0.03873975245137438;46004.0;15457.0;18306.0;5980.0;198.0;77.0;757.0;241.0
3;_woe_pca;40;0.7296398091378394;0.698474291935738;0.09242618741976895;0.08456561922365988;0.8158431012027886;0.8178809469087566;0.6408376963350786;0.5754716981132075;0.0498046875;0.0456359102244389;52634.0;17610.0;11676.0;3827.0;343.0;135.0;612.0;183.0
3;_woe_pca;45;0.7370200867688496;0.7014996114107067;0.08784058560390404;0.07976734524304115;0.7937945299931051;0.7963686508848541;0.6785340314136126;0.6037735849056604;0.04695992463221973;0.042704626334519574;51159.0;17133.0;13151.0;4304.0;307.0;126.0;648.0;192.0
3;_woe_pca;50;0.7408882938580387;0.7176633270578143;0.08361162646876934;0.07910673732021196;0.7729564084884701;0.7763272810848081;0.7078534031413612;0.6572327044025157;0.044429838974696025;0.042086186065243655;49771.0;16680.0;14539.0;4757.0;279.0;109.0;676.0;209.0
3;_woe_pca;55;0.7447667588521241;0.7284940250545477;0.08046767537826685;0.07777193904361533;0.7541714548379683;0.7579866697310963;0.7350785340314137;0.6981132075471698;0.04256351179288183;0.041179744017807454;48519.0;16268.0;15791.0;5169.0;253.0;96.0;702.0;222.0
3;_woe_pca;60;0.7471885199390061;0.7346681060166649;0.07768240343347639;0.07623762376237624;0.73658162874435;0.7426798437140887;0.7581151832460733;0.7264150943396226;0.04093864857223636;0.040229885057471264;47349.0;15926.0;16961.0;5511.0;231.0;87.0;724.0;231.0
3;_woe_pca;65;0.7537001728375563;0.7403757037955009;0.07628322174883344;0.07463846991136683;0.7209530376158737;0.7264536888071708;0.787434554973822;0.7547169811320755;0.04008315121795213;0.03926059218059873;46301.0;15564.0;18009.0;5873.0;203.0;78.0;752.0;240.0
3;_woe_pca;70;0.7551135248847818;0.7417395069888862;0.07431387707769617;0.0725342768686422;0.7064582854516204;0.7108250976786945;0.8052356020942408;0.7735849056603774;0.03895446026037182;0.038051044083526685;45338.0;15218.0;18972.0;6219.0;186.0;72.0;769.0;246.0
