city,coords_string
Ambikapur,"['title>gps coordinates of ambikapur, india, india. latitude: 23.2000 longitude: 83.0333', 'meta name=""dcterms.title"" content=""gps coordinates of ambikapur, india, india. latitude: 23.2000 longitude: 83.0333"">\n', 'meta property=""og:title"" content=""gps coordinates of ambikapur, india, india. latitude: 23.2000 longitude: 83.0333"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/20078/ambikapur-india"" data-title=""gps coordinates of ambikapur, india, india. latitude: 23.2000 longitude: 83.0333"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Korba,"['title>gps coordinates of korba, india. latitude: 22.3458 longitude: 82.6963', 'meta name=""dcterms.title"" content=""gps coordinates of korba, india. latitude: 22.3458 longitude: 82.6963"">\n', 'meta property=""og:title"" content=""gps coordinates of korba, india. latitude: 22.3458 longitude: 82.6963"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/korba"" data-title=""gps coordinates of korba, india. latitude: 22.3458 longitude: 82.6963"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Deoria,"['title>gps coordinates of deoria, india. latitude: 26.5017 longitude: 83.7794', 'meta name=""dcterms.title"" content=""gps coordinates of deoria, india. latitude: 26.5017 longitude: 83.7794"">\n', 'meta property=""og:title"" content=""gps coordinates of deoria, india. latitude: 26.5017 longitude: 83.7794"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/deoria"" data-title=""gps coordinates of deoria, india. latitude: 26.5017 longitude: 83.7794"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Ghaziabad,"['title>gps coordinates of ghāziābād, india. latitude: 28.6654 longitude: 77.4392', 'meta name=""dcterms.title"" content=""gps coordinates of ghāziābād, india. latitude: 28.6654 longitude: 77.4392"">\n', 'meta property=""og:title"" content=""gps coordinates of ghāziābād, india. latitude: 28.6654 longitude: 77.4392"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/ghaziabad"" data-title=""gps coordinates of ghāziābād, india. latitude: 28.6654 longitude: 77.4392"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Jalna,"['title>gps coordinates of jalna, maharashtra, india. latitude: 19.8300 longitude: 75.8800', 'meta name=""dcterms.title"" content=""gps coordinates of jalna, maharashtra, india. latitude: 19.8300 longitude: 75.8800"">\n', 'meta property=""og:title"" content=""gps coordinates of jalna, maharashtra, india. latitude: 19.8300 longitude: 75.8800"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/28651/jalna-maharashtra"" data-title=""gps coordinates of jalna, maharashtra, india. latitude: 19.8300 longitude: 75.8800"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Sonepur,"['title>gps coordinates of sonepur, odisha, india. latitude: 20.8300 longitude: 83.9200', 'meta name=""dcterms.title"" content=""gps coordinates of sonepur, odisha, india. latitude: 20.8300 longitude: 83.9200"">\n', 'meta property=""og:title"" content=""gps coordinates of sonepur, odisha, india. latitude: 20.8300 longitude: 83.9200"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/75376/sonepur-odisha"" data-title=""gps coordinates of sonepur, odisha, india. latitude: 20.8300 longitude: 83.9200"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Deogarh,"['title>gps coordinates of deogarh, india. latitude: 21.5377 longitude: 84.7337', 'meta name=""dcterms.title"" content=""gps coordinates of deogarh, india. latitude: 21.5377 longitude: 84.7337"">\n', 'meta property=""og:title"" content=""gps coordinates of deogarh, india. latitude: 21.5377 longitude: 84.7337"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/map/in/india/cities/deogarh"" data-title=""gps coordinates of deogarh, india. latitude: 21.5377 longitude: 84.7337"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Raigad,"['title>gps coordinates of raigad fort, india. latitude: 18.2338 longitude: 73.4375', 'meta name=""dcterms.title"" content=""gps coordinates of raigad fort, india. latitude: 18.2338 longitude: 73.4375"">\n', 'meta property=""og:title"" content=""gps coordinates of raigad fort, india. latitude: 18.2338 longitude: 73.4375"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/4016/raigad-fort"" data-title=""gps coordinates of raigad fort, india. latitude: 18.2338 longitude: 73.4375"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Hooghly,"['title>gps coordinates of hooghly river, india. latitude: 21.9167 longitude: 88.0833', 'meta name=""dcterms.title"" content=""gps coordinates of hooghly river, india. latitude: 21.9167 longitude: 88.0833"">\n', 'meta property=""og:title"" content=""gps coordinates of hooghly river, india. latitude: 21.9167 longitude: 88.0833"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/9839/hooghly-river"" data-title=""gps coordinates of hooghly river, india. latitude: 21.9167 longitude: 88.0833"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
Hamirpur,"['title>gps coordinates of hamirpur, uttar pradesh, india. latitude: 25.9500 longitude: 80.1500', 'meta name=""dcterms.title"" content=""gps coordinates of hamirpur, uttar pradesh, india. latitude: 25.9500 longitude: 80.1500"">\n', 'meta property=""og:title"" content=""gps coordinates of hamirpur, uttar pradesh, india. latitude: 25.9500 longitude: 80.1500"">\n', 'div class=""addthis_sharing_toolbox addthis_32x32_style"" data-url=""https://latitude.to/articles-by-country/in/india/42316/hamirpur-uttar-pradesh"" data-title=""gps coordinates of hamirpur, uttar pradesh, india. latitude: 25.9500 longitude: 80.1500"" style=""clear: both;"">\n  ', 'b>latitude:', 'b>longitude:']"
