param_learning_rate;param_n_estimators;param_max_depth;param_max_features;params;mean_train_score;mean_test_score
0.01;200;7;0.9;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 200};0.950495831660713;0.8424895476985074
0.01;500;7;0.9;{'learning_rate': 0.01, 'max_depth': 7, 'max_features': 0.9, 'n_estimators': 500};0.9714265131625328;0.8462205247844644
0.05;20;3;;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'n_estimators': 20};0.8457323245752538;0.8290888834155773
0.05;50;3;;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'n_estimators': 50};0.8601521158950842;0.8353294506581377
0.05;100;3;;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'n_estimators': 100};0.8751178290036251;0.8430207815318151
0.05;200;3;;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'n_estimators': 200};0.8909867489173218;0.8468564283586013
0.05;500;3;;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': None, 'n_estimators': 500};0.9184424110647254;0.847685245994797
0.05;20;3;0.5;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 20};0.8457330017107998;0.8283133155508678
0.05;50;3;0.5;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 50};0.8590920204320719;0.8356305543831981
0.05;100;3;0.5;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 100};0.8731468283305455;0.8425338323660835
0.05;200;3;0.5;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 200};0.8892474859019108;0.847031077721123
0.05;500;3;0.5;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.5, 'n_estimators': 500};0.9170324218521014;0.8476291157226044
0.05;20;3;0.75;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 20};0.8464274434058607;0.8300133258432929
0.05;50;3;0.75;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 50};0.8600862445102205;0.8353439517937536
0.05;100;3;0.75;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 100};0.874657075642955;0.8433677030195347
0.05;200;3;0.75;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 200};0.8910536410597253;0.8473633754297011
0.05;500;3;0.75;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.75, 'n_estimators': 500};0.9189716836889753;0.8480443648897544
0.05;20;3;0.9;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 20};0.8469365337688731;0.8294612278868322
0.05;50;3;0.9;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 50};0.8605959808321455;0.8360288238581727
0.05;100;3;0.9;{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 0.9, 'n_estimators': 100};0.8748981658189879;0.843728487465285
