dataset;data_variant;n_estimators;max_depth;auc_train;auc_test;f1_train;f1_test;accuracy_train;accuracy_test;precision_train;precision_test;recall_train;recall_test;TN_train;TN_test;FN_train;FN_test;FP_train;FP_test;TP_train;TP_test
1;_woe_scaled;400;5;0.8081039891038256;0.7610779487531549;0.09655746477198406;0.08730593607305936;0.7671799586301999;0.7703056768558952;0.8502617801047121;0.7515723270440252;0.05118507312153303;0.04634477409346519;49258.0;16519.0;15052.0;4918.0;143.0;79.0;812.0;239.0
1;_woe_scaled;500;3;0.7913487191051851;0.7617612439316845;0.08747753145596165;0.0824295010845987;0.7433080517888608;0.7472305217191451;0.8408376963350785;0.7767295597484277;0.046138818662376464;0.04352422907488987;47709.0;16009.0;16601.0;5428.0;152.0;71.0;803.0;247.0
1;_woe_scaled;500;4;0.7987994994793706;0.7672931770526654;0.09279425393883224;0.08720412884854956;0.7600245154370643;0.7642381061824868;0.8387434554973822;0.7704402515723271;0.049113986142620636;0.046217694774570835;48802.0;16381.0;15508.0;5056.0;154.0;73.0;801.0;245.0
1;_woe_scaled;500;5;0.8147466745256329;0.7573542980851012;0.0996168582375479;0.0876702107815706;0.7731555964146173;0.7751781199724201;0.8575916230366493;0.7389937106918238;0.05287964876033058;0.04659924648026968;49641.0;16629.0;14669.0;4808.0;136.0;83.0;819.0;235.0
1;_woe_scaled;600;3;0.7942616384479302;0.7585740489244042;0.08952891270372852;0.08299180327868853;0.750065119129702;0.7531601930590669;0.8397905759162304;0.7641509433962265;0.04728494782147279;0.043878656554712896;48151.0;16142.0;16159.0;5295.0;153.0;75.0;802.0;243.0
1;_woe_scaled;600;4;0.8028399335352893;0.7635695263846116;0.09513654404359932;0.08755676657584015;0.7659541867769861;0.7691105492990117;0.8408376963350785;0.7578616352201258;0.050420695717694336;0.04646230962020436;49187.0;16491.0;15123.0;4946.0;152.0;77.0;803.0;241.0
1;_woe_scaled;600;5;0.8188881815095564;0.7560193200318146;0.10232442201034461;0.0890082486092461;0.7792844556806864;0.7817053550907838;0.8596858638743455;0.7295597484276729;0.054399681950702355;0.047395301327885594;50039.0;16774.0;14271.0;4663.0;134.0;86.0;821.0;232.0
2;_scaled;400;3;0.7854315769249244;0.7557847582047498;0.08581464469062415;0.08074123097286565;0.7407952194897724;0.7446104343829005;0.831413612565445;0.7672955974842768;0.04524216524216524;0.04261264407963675;47554.0;15955.0;16756.0;5482.0;161.0;74.0;794.0;244.0
2;_scaled;400;4;0.793955448127973;0.7618627553665369;0.09097671225038621;0.08503937007874016;0.7565770320999005;0.759641461732935;0.8324607329842932;0.7641509433962265;0.048117661300084734;0.04502501389660923;48583.0;16283.0;15727.0;5154.0;160.0;75.0;795.0;243.0
2;_scaled;400;5;0.8132876503780363;0.7529501394021915;0.09820947362117492;0.08608904489192684;0.7692637707806634;0.7726039990806711;0.8586387434554974;0.7327044025157232;0.052083333333333336;0.045731108930323845;49386.0;16575.0;14924.0;4862.0;135.0;85.0;820.0;233.0
2;_scaled;500;3;0.7911048903340414;0.7615883664375032;0.08820444886018657;0.08293998651382334;0.7468934344595112;0.7499425419443806;0.8366492146596859;0.7735849056603774;0.04655634541428738;0.04381902386889918;47947.0;16069.0;16363.0;5368.0;156.0;72.0;799.0;246.0
2;_scaled;500;4;0.8009635510587216;0.7560440377728155;0.09405418083734021;0.08534389629096147;0.7632728108480809;0.7664904619627672;0.8397905759162304;0.7452830188679245;0.049816758804894716;0.04526355996944232;49013.0;16438.0;15297.0;4999.0;153.0;81.0;802.0;237.0
2;_scaled;500;5;0.818603321118828;0.7554691485919103;0.10087424344317418;0.08784165881244109;0.7746571669348042;0.777568375086187;0.8638743455497382;0.7327044025157232;0.05356447214647449;0.04672147583717666;49733.0;16683.0;14577.0;4754.0;130.0;85.0;825.0;233.0
2;_scaled;600;3;0.7930899577553424;0.7567122235903774;0.08992947813822284;0.08311777892740128;0.7528384279475983;0.7555964146173294;0.8345549738219895;0.7578616352201258;0.04752534287418008;0.043970078452837076;48337.0;16197.0;15973.0;5240.0;158.0;77.0;797.0;241.0
2;_scaled;600;4;0.8041745602330336;0.7533466501079805;0.09638843819482001;0.08636026686434395;0.7696008580402972;0.7733854286370949;0.8397905759162304;0.7327044025157232;0.05112839474690807;0.04588420638046475;49426.0;16592.0;14884.0;4845.0;153.0;85.0;802.0;233.0
2;_scaled;600;5;0.8251629663581426;0.7483346697049684;0.10469883317565437;0.08807482462977397;0.7825021067953727;0.7848770397609744;0.8691099476439791;0.710691823899371;0.05570469798657718;0.04694640631491483;50240.0;16849.0;14070.0;4588.0;125.0;92.0;830.0;226.0
2;_woe_scaled;400;3;0.7835732271938687;0.7636230692657116;0.08533362101515723;0.08231404958677685;0.7401823335631655;0.7447943001608825;0.8282722513089005;0.7830188679245284;0.044984076433121016;0.04344033496161898;47517.0;15954.0;16793.0;5483.0;164.0;69.0;791.0;249.0
2;_woe_scaled;400;4;0.7936573582964062;0.7651240302504075;0.09101851321144036;0.08578431372549021;0.7570060522485252;0.7599632268444035;0.831413612565445;0.7704402515723271;0.04814455493572641;0.04542083796811272;48612.0;16288.0;15698.0;5149.0;161.0;73.0;794.0;245.0
2;_woe_scaled;400;5;0.8134302433972879;0.7605785330306767;0.09803570362409697;0.08769344141488578;0.7685283076687351;0.7723741668581935;0.8596858638743455;0.7484276729559748;0.05198176522730151;0.04657534246575343;49337.0;16565.0;14973.0;4872.0;134.0;80.0;821.0;238.0
