data_variant;dataset;mean_test_score;mean_train_score;param_learning_rate;param_max_depth;param_n_estimators;param_scale_pos_weight;params
_woe_scaled;1;0.8482309709992498;0.8747634678136708;0.01;3;600;60;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 600, 'scale_pos_weight': 60}
_scaled;1;0.8482209615987271;0.9370841503071162;0.01;7;400;20;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400, 'scale_pos_weight': 20}
_scaled;3;0.8482164708415226;0.953070824771472;0.01;7;400;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400, 'scale_pos_weight': 40}
_scaled;1;0.8481697568754422;0.9500266109374262;0.1;3;400;20;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 20}
_woe_scaled;1;0.8481224269753979;0.9483357963938834;0.1;3;400;20;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 20}
_woe_scaled;1;0.8479174757229251;0.9516357553321385;0.01;7;600;20;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 600, 'scale_pos_weight': 20}
_woe_scaled;1;0.8478417265957918;0.9384515854125864;0.01;7;400;20;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400, 'scale_pos_weight': 20}
_woe_scaled;4;0.8478112894362496;0.9513578437026546;0.01;7;400;20;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400, 'scale_pos_weight': 20}
_scaled;2;0.8477299681451621;0.8679668593777615;0.01;3;400;60;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 60}
_scaled;4;0.8476789250311808;0.928063755978706;0.1;3;200;40;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 40}
_scaled;4;0.8476633409920463;0.9284174981942676;0.1;3;200;60;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 60}
_scaled;3;0.8476399938020226;0.9668595518738797;0.01;7;600;20;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 600, 'scale_pos_weight': 20}
_woe_scaled;2;0.8476348439940943;0.8683688329983493;0.01;3;400;60;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'scale_pos_weight': 60}
_scaled;1;0.8475710825967833;0.9487750412141757;0.01;7;600;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 600, 'scale_pos_weight': 40}
_woe_scaled;2;0.8475461349590973;0.889531455928728;0.01;5;200;60;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 60}
_woe_scaled;1;0.8474678014724979;0.9392983719439391;0.01;7;400;60;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400, 'scale_pos_weight': 60}
_woe_scaled;2;0.8472961574901091;0.8889600879206419;0.01;5;200;40;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 40}
_scaled;2;0.8472801080223903;0.9431796070208023;0.01;7;400;40;{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 400, 'scale_pos_weight': 40}
