dataset;data_variant;param_learning_rate;param_n_estimators;param_max_depth;param_max_features;mean_train_score;mean_test_score
2;_scaled;0.05;20;3;0.75;0.8465753499891406;0.8295953778679782
2;_scaled;0.05;50;3;0.75;0.8605572133091196;0.8358344679067432
2;_scaled;0.05;100;3;0.75;0.8746589808978296;0.8435910980524077
2;_scaled;0.05;200;3;0.75;0.8914870629809626;0.8468845409388285
2;_scaled;0.05;500;3;0.75;0.9184562171088118;0.8481030952557661
2;_scaled;0.05;20;3;0.9;0.8459871824108306;0.8286216132456256
2;_scaled;0.05;50;3;0.9;0.8607141240001552;0.8358408501790531
2;_scaled;0.05;100;3;0.9;0.8753483258063509;0.8429124344308129
2;_scaled;0.05;200;3;0.9;0.8916832087934263;0.8469072754175856
2;_scaled;0.05;500;3;0.9;0.9182082279984343;0.8475961981252158
2;_scaled;0.05;20;5;;0.882767389472584;0.8369133595293748
2;_scaled;0.05;50;5;;0.9032656570808041;0.8415912659483737
2;_scaled;0.05;100;5;;0.9203054148441916;0.8449656817112355
2;_scaled;0.05;200;5;;0.9437882324373829;0.845225179043412
2;_scaled;0.05;500;5;;0.9800719829057465;0.837066119746043
2;_scaled;0.05;20;5;0.5;0.8866041477749464;0.8384671446928121
2;_scaled;0.05;50;5;0.5;0.9085256986532794;0.844122845019862
2;_scaled;0.05;100;5;0.5;0.9256010389470815;0.8469983763858536
2;_scaled;0.05;200;5;0.5;0.9455618235328455;0.8466033803082943
2;_scaled;0.05;500;5;0.5;0.9827108212133899;0.8377316939906757
2;_scaled;0.05;20;5;0.75;0.8867008108151023;0.8394857857612472
2;_scaled;0.05;50;5;0.75;0.9069140375436695;0.8431558722146903
2;_scaled;0.05;100;5;0.75;0.9270156629541326;0.8466851030324025
2;_scaled;0.05;200;5;0.75;0.9491238318661337;0.8457070697741079
2;_scaled;0.05;500;5;0.75;0.9813197841743342;0.8380511132867159
2;_scaled;0.05;20;5;0.9;0.8850101162120467;0.8386009422238103
2;_scaled;0.05;50;5;0.9;0.9062044859882685;0.8420598854106183
2;_scaled;0.05;100;5;0.9;0.9242814029885504;0.8459132423901137
2;_scaled;0.05;200;5;0.9;0.9462026179270961;0.846287963582735
2;_scaled;0.05;500;5;0.9;0.9818581089846613;0.838581908963036
2;_scaled;0.05;20;7;;0.9283132701833641;0.8349590383719928
2;_scaled;0.05;50;7;;0.9517590494247367;0.8386309882091935
2;_scaled;0.05;100;7;;0.9689762579044764;0.8411425775605404
2;_scaled;0.05;200;7;;0.9862654205899631;0.8389226568131944
2;_scaled;0.05;500;7;;0.9992703389850669;0.8214124279617601
2;_scaled;0.05;20;7;0.5;0.9384605957925982;0.8382087632607302
2;_scaled;0.05;50;7;0.5;0.9605622923798991;0.8413404543907037
2;_scaled;0.05;100;7;0.5;0.9749177488573216;0.8428354648128827
2;_scaled;0.05;200;7;0.5;0.9894963210209984;0.8385654153133181
2;_scaled;0.05;500;7;0.5;0.9997778383563742;0.8217639535286969
2;_scaled;0.05;20;7;0.75;0.9360365526814234;0.8375282946037008
2;_scaled;0.05;50;7;0.75;0.9584833288670678;0.8381781317341443
2;_scaled;0.05;100;7;0.75;0.9734024130958105;0.8404394710966249
2;_scaled;0.05;200;7;0.75;0.9879029998456262;0.8376898774937933
2;_scaled;0.05;500;7;0.75;0.9995081320796897;0.8220884946617497
2;_scaled;0.05;20;7;0.9;0.9358242878475331;0.8384694417878263
2;_scaled;0.05;50;7;0.9;0.9572788598581712;0.841242029237343
2;_scaled;0.05;100;7;0.9;0.9717007459626181;0.8437965289541142
2;_scaled;0.05;200;7;0.9;0.9877049886565286;0.8405639565099242
2;_scaled;0.05;500;7;0.9;0.9994910520968725;0.8240702739949736
2;_scaled;0.1;20;3;;0.8545662632379649;0.8332184051015298
2;_scaled;0.1;50;3;;0.8737960977846901;0.8424540183376642
2;_scaled;0.1;100;3;;0.8907367895514663;0.8462946746822256
2;_scaled;0.1;200;3;;0.9114031260806194;0.8477553238191943
2;_scaled;0.1;500;3;;0.9470455235209947;0.8425553831594513
2;_scaled;0.1;20;3;0.5;0.8542568072507866;0.8333429367309755
2;_scaled;0.1;50;3;0.5;0.8719318410576383;0.8426806246500138
2;_scaled;0.1;100;3;0.5;0.8886542770401209;0.8474109525052658
2;_scaled;0.1;200;3;0.5;0.909537200525545;0.8481103306201805
2;_scaled;0.1;500;3;0.5;0.944285753535336;0.8424316693707881
2;_scaled;0.1;20;3;0.75;0.8557807690634576;0.8336502928293141
2;_scaled;0.1;50;3;0.75;0.8745892884753967;0.8423604660166804
2;_scaled;0.1;100;3;0.75;0.8914121034969487;0.8467004219075353
2;_scaled;0.1;200;3;0.75;0.9097173761454705;0.8477619714472506
2;_scaled;0.1;500;3;0.75;0.9447693677236153;0.842800769820186
2;_scaled;0.1;20;3;0.9;0.855690856062169;0.833159775446939
2;_scaled;0.1;50;3;0.9;0.8746030178120671;0.8430497417620902
2;_scaled;0.1;100;3;0.9;0.8904514471965284;0.847224933743183
2;_scaled;0.1;200;3;0.9;0.9114762440933596;0.8481796511611435
2;_scaled;0.1;500;3;0.9;0.947522864261954;0.843343758459359
2;_scaled;0.1;20;5;;0.8973880488650031;0.8411790211796463
2;_scaled;0.1;50;5;;0.9216767100128784;0.8451813133552314
2;_scaled;0.1;100;5;;0.9438309726861364;0.8444897793078752
2;_scaled;0.1;200;5;;0.9716884281941754;0.8379341817460183
2;_scaled;0.1;500;5;;0.9969328105444624;0.8232446284870886
2;_scaled;0.1;20;5;0.5;0.8961954707423497;0.8414619772656579
2;_scaled;0.1;50;5;0.5;0.9198070540957459;0.8458001371137676
2;_scaled;0.1;100;5;0.5;0.9433572940189477;0.8449064266896391
2;_scaled;0.1;200;5;0.5;0.9722965023104588;0.839760940834131
2;_scaled;0.1;500;5;0.5;0.9968907679088858;0.8237470463740338
2;_scaled;0.1;20;5;0.75;0.8979883479411941;0.8397133115628096
2;_scaled;0.1;50;5;0.75;0.9225124992477947;0.842994591213336
2;_scaled;0.1;100;5;0.75;0.9462767777719768;0.8418708781280936
2;_scaled;0.1;200;5;0.75;0.9732739486089055;0.8359409344612304
2;_scaled;0.1;500;5;0.75;0.9971992182273751;0.8210650107205564
2;_scaled;0.1;20;5;0.9;0.8987075055275531;0.8405917637094024
2;_scaled;0.1;50;5;0.9;0.9223379560521272;0.8454287810158196
2;_scaled;0.1;100;5;0.9;0.9470270429869962;0.8446424920330406
2;_scaled;0.1;200;5;0.9;0.9725238378324245;0.838746989174495
2;_scaled;0.1;500;5;0.9;0.9977033534489711;0.828545813056045
2;_scaled;0.1;20;7;;0.951196479399018;0.8373930821222569
2;_scaled;0.1;50;7;;0.9712279289811084;0.8403319714889471
2;_scaled;0.1;100;7;;0.9873237653043734;0.8361670654080926
2;_scaled;0.1;200;7;;0.9989723099977983;0.8286356797518167
2;_scaled;0.1;500;7;;0.9999998372002191;0.8053377246547595
2;_scaled;0.1;20;7;0.5;0.9497064062136882;0.8353678734591621
2;_scaled;0.1;50;7;0.5;0.9711421397671802;0.8364790674827641
2;_scaled;0.1;100;7;0.5;0.9885951038949354;0.8318586479319902
2;_scaled;0.1;200;7;0.5;0.9988620671366494;0.8219789970878548
2;_scaled;0.1;500;7;0.5;0.999989514237609;0.8003892742673319
2;_scaled;0.1;20;7;0.75;0.9525719053747835;0.8356852721382397
2;_scaled;0.1;50;7;0.75;0.9728732154638622;0.8385330598026411
2;_scaled;0.1;100;7;0.75;0.9898900013586345;0.8351397071136533
2;_scaled;0.1;200;7;0.75;0.998706284183759;0.8256364633128892
2;_scaled;0.1;500;7;0.75;0.9996410199270562;0.8091532774462663
2;_scaled;0.1;20;7;0.9;0.950733881421062;0.8361425744749724
2;_scaled;0.1;50;7;0.9;0.9712711621029917;0.8388406509717868
2;_scaled;0.1;100;7;0.9;0.9881854274807793;0.8327352551490744
2;_scaled;0.1;200;7;0.9;0.999125505230312;0.8253852473837987
2;_scaled;0.1;500;7;0.9;0.9999998444394381;0.8012230132577046
3;_pca;0.01;20;3;;0.7989379187599472;0.7766392344021976
3;_pca;0.01;50;3;;0.8092890148312909;0.7837408857895525
3;_pca;0.01;100;3;;0.8197454555352647;0.7884654543208063
3;_pca;0.01;200;3;;0.8342809694253528;0.7936553613828414
3;_pca;0.01;500;3;;0.8595989578034918;0.8022866715321415
3;_pca;0.01;20;3;0.5;0.8146505699559501;0.7863633367265686
3;_pca;0.01;50;3;0.5;0.82184489961683;0.7891769664676809
3;_pca;0.01;100;3;0.5;0.8283085112446287;0.7912107527775217
3;_pca;0.01;200;3;0.5;0.8426484214957934;0.795658121572451
3;_pca;0.01;500;3;0.5;0.8707995448549548;0.8054731206721651
3;_pca;0.01;20;3;0.75;0.8109879226679595;0.7841212492001947
3;_pca;0.01;50;3;0.75;0.8181343650263668;0.7875877904004183
3;_pca;0.01;100;3;0.75;0.8255985833528383;0.7901244031115271
3;_pca;0.01;200;3;0.75;0.8384173902354074;0.7943526246349029
3;_pca;0.01;500;3;0.75;0.8653534585423415;0.8030664024116445
3;_pca;0.01;20;3;0.9;0.8057199842547409;0.7801669434289498
3;_pca;0.01;50;3;0.9;0.8138610798836635;0.7846191552853258
3;_pca;0.01;100;3;0.9;0.8230721086503667;0.7896043148380688
3;_pca;0.01;200;3;0.9;0.8376293371036652;0.7937800976423968
3;_pca;0.01;500;3;0.9;0.8635928750591789;0.8024666081972395
3;_pca;0.01;20;5;;0.8285894761113423;0.7825150236245557
3;_pca;0.01;50;5;;0.85080953023805;0.793660073872655
3;_pca;0.01;100;5;;0.8668137942032577;0.7989937304703296
